metric,n,pearson_r,spearman_r,slope_days_per_unit,intercept_days,r2,residual_se_days
oct_nov_mean_c,15,0.728830,0.471754,4.367368,-64.775263,0.531194,3.280382
nov_mean_c,15,0.713613,0.719290,2.978681,-33.256093,0.509244,3.356299
nov_dec10_mean_c,15,0.709126,0.706734,3.005605,-30.394373,0.502860,3.378059
nov_dec10_min_mean_c,15,0.682445,0.660096,2.731760,-16.257067,0.465731,3.501931
nov_min_mean_c,15,0.672494,0.679827,2.591090,-17.918859,0.452248,3.545844
nov_dec10_days_le_10c,15,-0.644081,-0.576476,-0.652893,13.818182,0.414841,3.664923
first_5d_le_12_day_from_oct1,15,0.571253,0.661845,0.421180,-15.550158,0.326330,3.932342
nov_dec10_days_le_12c,15,-0.517246,-0.478418,-0.453608,14.725773,0.267544,4.100328
nov16_dec10_mean_c,15,0.504333,0.423323,1.876484,-14.190837,0.254352,4.137088
nov_min_days_le_5c,15,-0.483119,-0.268942,-0.951473,8.117851,0.233404,4.194797
nov_days_le_12c,15,-0.460329,-0.474348,-0.420425,10.301155,0.211903,4.253217
first_5d_le_10_day_from_oct1,15,0.456535,0.350450,0.315705,-13.110897,0.208425,4.262593
nov_days_le_10c,15,-0.442880,-0.311372,-0.580645,8.451613,0.196143,4.295534
rain_days_nov,15,-0.412763,-0.431166,-0.724209,9.593535,0.170374,4.363842
oct_nov_precip_total_mm,15,-0.409104,-0.141705,-0.022340,9.936181,0.167366,4.371744
dec_mean_c,15,0.393370,0.423323,1.549140,-5.923825,0.154740,4.404767
heavy_rain_days_after_nov15,15,0.369351,0.443444,2.423077,3.423077,0.136420,4.452245
nov_precip_total_mm,15,0.360242,0.227805,0.036310,2.749069,0.129775,4.469342
nov_min_days_le_8c,15,-0.352820,-0.350181,-0.337072,9.492047,0.124482,4.482914
first_min_le_8_day_from_oct1,15,0.331950,0.330027,0.301661,-6.363653,0.110191,4.519352
oct_mean_c,15,0.308862,0.125562,1.291152,-19.375486,0.095396,4.556769
windy_days_after_nov15,15,0.276728,0.216803,0.449823,2.171192,0.076578,4.603920
sunny_cold_nights_nov_dec10,15,-0.120478,-0.166517,-0.125181,6.977569,0.014515,4.756119
nov_dec10_sunshine_hours_total,15,-0.088568,-0.062781,-0.014140,8.071583,0.007844,4.772189
nov_diurnal_range_mean_c,15,-0.078928,-0.014350,-0.552048,10.018279,0.006230,4.776071
nov_dec10_diurnal_range_mean_c,15,-0.077673,-0.114799,-0.562849,10.109636,0.006033,4.776543
max_gust_nov_dec10_ms,15,-0.055254,-0.318919,-0.125138,7.009488,0.003053,4.783698
nov_sunshine_hours_total,15,-0.053665,-0.087972,-0.011664,6.954533,0.002880,4.784113
nov_days_range_ge_10c,15,-0.030947,-0.002745,-0.051033,5.737546,0.000958,4.788722
