year,red_date,red_md,delay_vs_dec5_days,oct_mean_c,nov_mean_c,dec_mean_c,oct_nov_mean_c,nov_dec10_mean_c,nov16_dec10_mean_c,nov_days_le_10c,nov_days_le_12c,nov_dec10_days_le_10c,nov_dec10_days_le_12c,first_5d_mean_le_12,first_5d_mean_le_10,red_rm
2010,2010-12-13,12/13,8,19.109677,11.753333,7.512903,15.491803,11.275000,10.300000,8,16,13,24,2010-11-13,2010-11-29,8
2011,2011-12-14,12/14,9,18.390323,13.793333,6.548387,16.129508,12.717500,10.552000,6,10,11,19,2011-11-23,2011-11-25,8
2012,2012-12-07,12/07,2,18.219355,11.136667,5.390323,14.736066,9.615000,7.852000,10,21,20,31,2012-11-15,2012-11-17,9
2013,2013-12-05,12/05,0,20.048387,11.510000,6.280645,15.849180,10.747500,9.108000,12,18,22,28,2013-11-13,2013-11-22,9
2014,2014-12-09,12/09,4,18.754839,13.146667,5.545161,15.996721,11.487500,9.872000,4,9,13,18,2014-11-15,2014-11-18,9
2015,2015-12-14,12/14,9,18.112903,14.450000,9.003226,16.311475,13.312500,11.800000,4,6,11,15,2015-11-27,2015-11-29,9
2016,2016-12-06,12/06,1,19.696774,12.490000,8.164516,16.152459,11.852500,11.196000,6,12,12,20,2016-11-09,2016-12-08,9
2017,2017-12-01,12/01,-4,18.041935,11.196667,5.580645,14.675410,10.047500,8.120000,11,18,21,28,2017-11-14,2017-11-19,9
2018,2018-12-12,12/12,7,18.722581,13.490000,8.196774,16.149180,12.895000,11.424000,2,10,5,16,2018-11-22,2018-11-24,9
2019,2019-12-10,12/10,5,19.970968,12.923333,8.322581,16.504918,11.682500,10.308000,5,8,14,17,2019-11-22,2019-11-30,9
2020,2020-12-07,12/07,2,17.912903,13.626667,7.196774,15.804918,12.570000,12.032000,2,11,12,21,2020-11-13,2020-12-02,9
2021,,,,19.600000,12.896667,7.422581,16.303279,11.967500,10.508000,5,10,10,20,2021-11-14,2021-11-28,0
2022,2022-12-12,12/12,7,18.132258,14.126667,6.445161,16.162295,12.725000,11.504000,0,2,10,12,2022-12-02,2022-12-04,9
2023,2023-12-13,12/13,8,18.229032,13.343333,8.229032,15.826230,12.270000,10.004000,7,15,13,23,2023-11-15,2023-11-29,9
2024,2024-12-20,12/20,15,21.596774,14.196667,7.022581,17.957377,12.907500,10.820000,5,11,11,20,2024-11-22,2024-12-07,9
2025,2025-12-10,12/10,5,20.567742,12.473333,8.270968,16.586885,11.535000,10.112000,2,15,10,23,2025-11-19,2025-11-22,9
