date,year,month,day,precip_total_mm,t_mean_c,t_max_c,t_min_c,humidity_mean_pct,humidity_min_pct,wind_mean_ms,wind_max_ms,gust_max_ms,sunshine_hours,weather_day,weather_night,source_url
2010-10-01,2010,10,1,0.000000,20.400000,27.900000,15.000000,65.000000,41.000000,1.400000,3.000000,4.700000,9.100000,晴,晴時々薄曇,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-02,2010,10,2,0.000000,22.700000,28.500000,16.800000,63.000000,44.000000,2.400000,4.800000,8.200000,8.300000,晴,曇時々晴,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-03,2010,10,3,16.500000,22.000000,25.300000,20.400000,72.000000,56.000000,2.300000,5.100000,8.600000,0.400000,曇後雨,雨時々曇,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-04,2010,10,4,9.000000,20.700000,23.800000,17.700000,77.000000,51.000000,1.800000,5.000000,7.600000,3.100000,雨時々曇後晴,曇一時晴,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-05,2010,10,5,0.000000,19.500000,26.100000,16.300000,67.000000,38.000000,1.700000,5.300000,9.800000,7.200000,曇後時々晴,晴,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-06,2010,10,6,0.000000,19.300000,25.500000,14.500000,66.000000,38.000000,2.000000,5.700000,10.100000,8.500000,晴,快晴,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-07,2010,10,7,0.000000,20.500000,27.700000,14.200000,65.000000,37.000000,1.500000,4.400000,6.000000,9.700000,晴,晴,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-08,2010,10,8,15.500000,21.500000,27.200000,16.900000,68.000000,46.000000,2.500000,6.500000,11.300000,5.100000,曇一時晴,大雨,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-09,2010,10,9,47.500000,19.200000,20.300000,17.900000,90.000000,80.000000,1.800000,4.800000,8.600000,0.000000,雨,曇時々雨,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
2010-10-10,2010,10,10,0.000000,21.500000,26.600000,18.400000,75.000000,48.000000,1.700000,5.600000,9.600000,5.600000,晴時々曇,晴後一時曇,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=61&block_no=47759&year=2010&month=10&day=&view=p1
